,rank,artistsong,year,artist,song_title
171,12,"bettyhutton/doctor,lawyer,indianchief.html",1946,Betty Hutton,"Doctor, Lawyer, Indian Chief"
172,13,"vaughnmonroe/letitsnow,letitsnow,letitsnow.html",1946,Vaughn Monroe,"Let It Snow, Let It Snow, Let It Snow"
173,14,freddymartin/toeachhisown.html,1946,Freddy Martin,To Each His Own
174,15,kaykyser/olbuttermilksky.html,1946,Kay Kyser,Ol’ Buttermilk Sky
175,16,theinkspots/toeachhisown.html,1946,The Ink Spots,To Each His Own
176,17,freddymartin/symphony.html,1946,Freddy Martin,Symphony
177,18,sammykaye/theoldlamplighter.html,1946,Sammy Kaye,The Old Lamplighter
178,19,bingcrosbyandcarmencavallaro/icantbegintotellyou.html,1946,Bing Crosby and Carmen Cavallaro,I Can’t Begin To Tell You
179,20,sammykaye/imabiggirlnow.html,1946,Sammy Kaye,I’m A Big Girl Now
180,21,bingcrosby/symphony.html,1946,Bing Crosby,Symphony
181,22,dinahshore/doinwhatcomesnaturlly.html,1946,Dinah Shore,Doin’ What Comes Natur’lly
182,23,sammykaye/thegypsy.html,1946,Sammy Kaye,The Gypsy
183,24,dinahshore/laughingontheoutsidecryingontheinside.html,1946,Dinah Shore,Laughing On The Outside Crying On The Inside
184,25,texbenekeandtheglennmillerorchestra/fiveminutesmore.html,1946,Tex Beneke and The Glenn Miller Orchestra,Five Minutes More
185,26,andyrussell/laughingontheoutsidecryingontheinside.html,1946,Andy Russell,Laughing On The Outside Crying On The Inside
186,27,perrycomo/theysayitswonderful.html,1946,Perry Como,They Say It’s Wonderful
187,28,texbenekeandtheglennmillerorchestra/heyba-ba-re-bop.html,1946,Tex Beneke and The Glenn Miller Orchestra,Hey! Ba-Ba-Re-Bop
188,29,tonymartin/toeachhisown.html,1946,Tony Martin,To Each His Own
189,30,lesbrown/youwontbesatisfieduntilyoubreakmyheart.html,1946,Les Brown,You Won’t Be Satisfied Until You Break My Heart
190,31,bennygoodman/symphony.html,1946,Benny Goodman,Symphony
191,32,charliespivak/ohwhatitseemedtobe.html,1946,Charlie Spivak,Oh! What It Seemed To Be
192,33,freddymartin/doinwhatcomesnaturlly.html,1946,Freddy Martin,Doin’ What Comes Natur’lly
193,34,kaykyser/theoldlamplighter.html,1946,Kay Kyser,The Old Lamplighter
194,35,dickhaymesandhelenforrest/ohwhatitseemedtobe.html,1946,Dick Haymes and Helen Forrest,Oh! What It Seemed To Be
195,36,andrewssistersandlespaultrio/rumorsareflying.html,1946,Andrews Sisters and Les Paul Trio,Rumors Are Flying
196,37,perrycomo/digyoulaterahubba-hubba-hubba.html,1946,Perry Como,Dig You Later A Hubba-Hubba-Hubba
197,38,jostafford/symphony.html,1946,Jo Stafford,Symphony
198,39,modernairesandpaulakelly/toeachhisown.html,1946,Modernaires and Paula Kelly,To Each His Own
199,40,bingcrosby/siouxcitysue.html,1946,Bing Crosby,Sioux City Sue
200,41,thekingcoletrio/iloveyouforsentimentalreasons.html,1946,The King Cole Trio,I Love You For Sentimental Reasons
201,42,"guylombardo/managua,nicaragua.html",1946,Guy Lombardo,"Managua, Nicaragua"
202,43,vaughnmonroe/howsoon.html,1946,Vaughn Monroe,How Soon
203,44,bingcrosby/thewhiffenpoofsong.html,1946,Bing Crosby,The Whiffenpoof Song
204,45,"dustyfletcher/openthedoor,richard.html",1946,Dusty Fletcher,"Open The Door, Richard"
205,46,eddyhoward/iloveyouforsentimentalreasons.html,1946,Eddy Howard,I Love You For Sentimental Reasons
206,47,peggylee/goldenearrings.html,1946,Peggy Lee,Golden Earrings
207,48,kaykyser/olbuttermilksky.html,1946,Kay Kyser,Ol’ Buttermilk Sky
208,1,franciscraig/nearyou.html,1947,Francis Craig,Near You
209,2,theharmonicats/pegomyheart.html,1947,The Harmonicats,Peg O’ My Heart
210,3,tedweems/heartaches.html,1947,Ted Weems,Heartaches
211,4,raynobleandbuddyclark/linda.html,1947,Ray Noble and Buddy Clark,Linda
212,5,"texwilliams/smoke,smoke,smokethatcigarette.html",1947,Tex Williams,"Smoke, Smoke, Smoke That Cigarette"
213,6,vaughnmonroe/iwishididntloveyouso.html,1947,Vaughn Monroe,I Wish I Didn’t Love You So
214,7,thethreesuns/pegomyheart.html,1947,The Three Suns,Peg O’ My Heart
215,8,aljolson/anniversarysong.html,1947,Al Jolson,Anniversary Song
216,9,larrygreen/nearyou.html,1947,Larry Green,Near You
217,10,sammykaye/thatsmydesire.html,1947,Sammy Kaye,That’s My Desire
218,11,vaughnmonroe/ballerina.html,1947,Vaughn Monroe,Ballerina
219,12,artlund/mamselle.html,1947,Art Lund,Mam’selle
220,13,"freddymartin/managua,nicaragua.html",1947,Freddy Martin,"Managua, Nicaragua"
221,14,perrycomo/chi-babachi-baba.html,1947,Perry Como,Chi-Baba Chi-Baba
222,15,redingleandjostafford/temptationtim-tayshun.html,1947,Red Ingle and Jo Stafford,Temptation (Tim-tayshun)
223,16,tedweemsandperrycomo/iwonderwhoskissinghernow.html,1947,Ted Weems and Perry Como,I Wonder Who’s Kissing Her Now
224,17,theandrewssisters/nearyou.html,1947,The Andrews Sisters,Near You
225,18,sammykaye/theoldlamplighter.html,1947,Sammy Kaye,The Old Lamplighter
226,19,perrycomo/whenyouweresweetsixteen.html,1947,Perry Como,When You Were Sweet Sixteen
227,20,jackowens/howsoon.html,1947,Jack Owens,How Soon
228,21,arthurgodfrey/toofatpolka.html,1947,Arthur Godfrey,Too Fat Polka
229,22,"eddyhoward/iwonder,iwonder,iwonder.html",1947,Eddy Howard,"I Wonder, I Wonder, I Wonder"
230,23,eddyhoward/myadobehacienda.html,1947,Eddy Howard,My Adobe Hacienda
231,24,hoagycarmichael/hugginandchalkin.html,1947,Hoagy Carmichael,Huggin’ And Chalkin’
232,25,hoagycarmichael/olebuttermilksky.html,1947,Hoagy Carmichael,Ole Buttermilk Sky
233,26,thekingcoletrio/iloveyouforsentimentalreasons.html,1947,The King Cole Trio,I Love You For Sentimental Reasons
234,27,dickhaymes/mamselle.html,1947,Dick Haymes,Mam’selle
235,28,vaughnmonroe/youdo.html,1947,Vaughn Monroe,You Do
236,29,guylombardo/anniversarysong.html,1947,Guy Lombardo,Anniversary Song
237,30,bingcrosby/whitechristmas.html,1947,Bing Crosby,White Christmas
238,31,dinahshore/anniversarysong.html,1947,Dinah Shore,Anniversary Song
239,32,millsbrothers/acrossthealleyfromthealamo.html,1947,Mills Brothers,Across The Alley From The Alamo
240,33,andrewssistersanddannykaye/civilizationbongobongobongo.html,1947,Andrews Sisters and Danny Kaye,Civilization Bongo Bongo Bongo
241,34,kaykyser/theoldlamplighter.html,1947,Kay Kyser,The Old Lamplighter
242,35,artlund/pegomyheart.html,1947,Art Lund,Peg O’ My Heart
243,36,"countbasie/openthedoor,richard.html",1947,Count Basie,"Open The Door, Richard"
244,37,margaretwhiting/youdo.html,1947,Margaret Whiting,You Do
245,38,dorothyshay/feudinandfightin.html,1947,Dorothy Shay,Feudin’ And Fightin’
246,39,charliespivak/linda.html,1947,Charlie Spivak,Linda
247,40,"guylombardo/managua,nicaragua.html",1947,Guy Lombardo,"Managua, Nicaragua"
248,41,texbenekeandtheglennmillerorchestra/anniversarysong.html,1947,Tex Beneke and The Glenn Miller Orchestra,Anniversary Song
249,42,bingcrosby/thewhiffenpoofsong.html,1947,Bing Crosby,The Whiffenpoof Song
250,43,vaughnmonroe/howsoon.html,1947,Vaughn Monroe,How Soon
251,44,"dustyfletcher/openthedoor,richard.html",1947,Dusty Fletcher,"Open The Door, Richard"
252,45,eddyhoward/iloveyouforsentimentalreasons.html,1947,Eddy Howard,I Love You For Sentimental Reasons
253,46,peggylee/goldenearrings.html,1947,Peggy Lee,Golden Earrings
254,47,kaykyser/olebuttermilksky.html,1947,Kay Kyser,Ole Buttermilk Sky
255,1,peeweehunt/twelfthstreetrag.html,1948,Pee Wee Hunt,Twelfth Street Rag
256,2,peggylee/manana.html,1948,Peggy Lee,Manana
257,3,bingcrosby/nowisthehour.html,1948,Bing Crosby,Now Is The Hour
258,4,margaretwhiting/atreeinthemeadow.html,1948,Margaret Whiting,A Tree In The Meadow
259,5,jonandsondrasteele/myhappiness.html,1948,Jon and Sondra Steele,My Happiness
260,6,"kengriffinandjerrywayne/youcantbetrue,dear.html",1948,Ken Griffin and Jerry Wayne,"You Can’t Be True, Dear"
261,7,dickhaymes/littlewhitelies.html,1948,Dick Haymes,Little White Lies
262,8,altrace/youcalleverybodydarlin.html,1948,Al Trace,You Call Everybody Darlin’
263,9,thepiedpipers/myhappiness.html,1948,The Pied Pipers,My Happiness
264,10,artmooney/imlookingoverafourleafclover.html,1948,Art Mooney,I’m Looking Over A Four Leaf Clover
